username,docName,quizTimestamp,status,condition,reason,nearbyEvidence
,c1_walt_disney_4.pdf,2026/05/08 4:57:57 μ.μ. GMT+3,unmatched_unknown_or_test_id,,"Το ID δεν αντιστοιχεί με γνωστό DB user, ή είναι κενό/test typo.",
1093313,c1_age_of_exploration_1.pdf,2026/05/21 9:49:35 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1093313,c1_bee_reading_2.pdf,2026/05/21 9:54:33 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1093322,c2_noisy_humans_1.pdf,2026/05/25 10:48:03 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1093322,c2_rosa_parks_2.pdf,2026/05/25 10:54:21 π.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1093515,b2_electromagnetic_radiation_2.pdf,2026/05/25 6:57:11 μ.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1093515,b2_animals_of_rainforests_1.pdf,2026/05/25 7:04:43 μ.μ. GMT+3,not_used_no_user_pdf_session,,"Υπάρχει quiz response, αλλά στο current DB δεν υπάρχει text session με ίδιο user και ίδιο PDF.",Δεν βρέθηκε κοντινό session στο DB για την ίδια ημέρα.
1095564,c2_rosa_parks_2.pdf,2026/05/25 5:11:10 μ.μ. GMT+3,used_with_inferred_condition,off,"Ο user είχε 8 unique quiz PDFs και 4 popup-on / 2 popup-off DB-matched sessions. Για να συμπληρωθεί το αναμενόμενο 4-on/4-off, το missing PDF ταξινομήθηκε ως `off`.",2026-05-25T17:04:45->2026-05-25T17:04:47 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=manual_disconnect; 2026-05-25T17:04:51->2026-05-25T17:07:29 docs=eye_tracking_validation_simple_2pages.pdf modes=on events=95 reason=translation_output_mode_changed; 2026-05-25T17:07:29->2026-05-25T17:09:31 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=manual_disconnect
1095564,b2_electromagnetic_radiation_2.pdf,2026/05/28 3:23:13 μ.μ. GMT+3,used_with_inferred_condition,off,"Ο user είχε 8 unique quiz PDFs και 4 popup-on / 2 popup-off DB-matched sessions. Για να συμπληρωθεί το αναμενόμενο 4-on/4-off, το missing PDF ταξινομήθηκε ως `off`.",2026-05-28T15:18:36->2026-05-28T15:18:45 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=translation_output_mode_changed; 2026-05-28T15:18:45->2026-05-28T15:21:37 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=manual_disconnect; 2026-05-28T15:23:39->2026-05-28T15:26:50 docs=b2_animals_of_rainforests_1.pdf modes=on events=2 reason=manual_disconnect
1103080,c1_walt_disney_4.pdf,2026/06/04 3:47:05 μ.μ. GMT+3,used_with_inferred_condition,off,"Ο user είχε 8 unique quiz PDFs και 4 popup-on / 3 popup-off DB-matched sessions. Για να συμπληρωθεί το αναμενόμενο 4-on/4-off, το missing PDF ταξινομήθηκε ως `off`.",2026-06-04T15:35:54->2026-06-04T15:39:38 docs=c1_age_of_exploration_1.pdf modes=on events=8 reason=manual_disconnect; 2026-06-04T15:41:40->2026-06-04T15:41:46 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=translation_output_mode_changed; 2026-06-04T15:41:46->2026-06-04T15:44:35 docs=NO_TRANSLATION_EVENTS modes=on events=0 reason=manual_disconnect
